_id,orderId,requestId,mid,type,status,state,currentStepId,currency,payInCompleted,flowCompleted,payerAmount,feeAmount,payerInfo_paymentMethod,payerInfo_customerId,payerInfo_email,payerInfo_name,payerInfo_reference,payerInfo_mobileNumber,payerInfo_bankId,payerInfo_instrumentToken,payerInfo_networkType,payerInfo_cardBin,retries,isManualRecon,isSave,callBackUrl,deviceInfo_ip,deviceInfo_model,deviceInfo_userAgent,deviceInfo_network,deviceInfo_longitude,deviceInfo_os,deviceInfo_osVersion,deviceInfo_appVersion,deviceInfo_latitude,serviceType,tenantId,createdDate,createdBy,modifiedDate,modifiedBy,_class,billerDetails_operatorId,billerDetails_amount,billerDetails_currency,billerDetails_countryCode,billerDetails_categoryId,billerDetails_planId,billerDetails_integratorTxnId,billerDetails_operatorBillFetchReference,billerDetails_q1
f4f9a7c4-47a0-4dc0-94c2-3c315c645b1d,419b7892-1cca-41d1-a897-9a18e1158368,82b637c9-4e8b-43c9-883a-e7538fbffd66,a374240d-da78-477e-a5a4-363b1d4f8c18,payment_link,success,process_completed,pl-20-02,ZAR,TRUE,TRUE,10,0,bank,nikhil,nikhilr@imss.co.in,Nikhil,trek123,12132424,nedbank,350bc360-7416-4b46-8153-25cd1907a959,,,0,FALSE,FALSE,https://dev.sasaipaymentgateway.com/dev/cui/checkout,10.10.10.31,iphone,Safari,Airtel 4G,235,ios,15.2,23,,trekking,tenant,2023-04-21T15:50:30.791Z,54c01336-505f-4095-a5a7-bcc1777d70fe,2023-04-21T15:52:08.791Z,54c01336-505f-4095-a5a7-bcc1777d70fe,com.sasai.payments.entities.OrderInfo,,,,,,,,,
66916ffe-db2f-4baa-b186-bc9b84c6d57c,54962a39-0ec1-4f39-b377-c88aaf926351,4afc5668-debf-453a-a083-6acb73f94f09,a374240d-da78-477e-a5a4-363b1d4f8c18,payment_link,success,process_completed,pl-20-04-02,ZAR,TRUE,TRUE,10,0,card,nikhil,nikhilr@imss.co.in,Nikhil,trek123,12132424,,cf7d8784-f84a-4df8-b569-2fd462cd74ac,visa,400000,0,FALSE,FALSE,https://tenant-staging.sasaipaymentgateway.com/staging/cui/payment-link?linkCode=UIi4mpZu,10.10.10.31,iphone,Safari,Airtel 4G,235,ios,15.2,23,,trekking,tenant,2023-04-21T15:52:56.286Z,54c01336-505f-4095-a5a7-bcc1777d70fe,2023-04-21T15:54:31.289Z,54c01336-505f-4095-a5a7-bcc1777d70fe,com.sasai.payments.entities.OrderInfo,,,,,,,,,
c7efe676-abfb-4b1d-84d1-dce304d78889,e2a777dd-1c3e-4555-ac0e-d7cbae3d476b,d83acd42-aba5-4ee3-ace8-550fd35c268c,c0a4ead1-89ff-4a63-98d4-9297f8488ec8,payment_link,success,process_completed,pl-20-04-02,ZAR,TRUE,TRUE,10,0,card,nikhil,nikhilr@imss.co.in,Nikhil,payment123,32324324324,,a80fbe6d-22c1-49d3-bcda-889bec9d838f,visa,400000,0,FALSE,FALSE,https://tenant-2-staging.sasaipaymentgateway.com/staging/cui/payment-link?linkCode=Efwda1j3,10.10.10.31,iphone,Safari,Airtel 4G,235,ios,15.2,23,,merchant-payment,tenant-2,2023-04-21T16:40:33.487Z,dceaafc8-ad5f-474d-855b-5d4ae3d8e133,2023-04-21T16:41:27.886Z,dceaafc8-ad5f-474d-855b-5d4ae3d8e133,com.sasai.payments.entities.OrderInfo,,,,,,,,,
8fad65b7-0bc8-495f-970f-5aeb0764c601,41af90b9-e8f6-47ab-9386-86d3ccc46bd2,61614045-8efc-424b-8be8-d1d7fed8b240,c0a4ead1-89ff-4a63-98d4-9297f8488ec8,payment_link,success,process_completed,pl-20-02,ZAR,TRUE,TRUE,10,0,bank,nikhil,nikhil@gmail.com,Nikhil,pay1213,12131233,nedbank,9d188a09-79a0-4c08-ad6e-20b81d5e54fd,,,0,FALSE,FALSE,https://dev.sasaipaymentgateway.com/dev/cui/checkout,10.10.10.31,iphone,Safari,Airtel 4G,235,ios,15.2,23,,merchant-payment,tenant-2,2023-04-21T17:04:44.290Z,dceaafc8-ad5f-474d-855b-5d4ae3d8e133,2023-04-21T17:05:55.997Z,dceaafc8-ad5f-474d-855b-5d4ae3d8e133,com.sasai.payments.entities.OrderInfo,,,,,,,,,
aff7dcfd-bb4a-4687-b8fa-fd3bd12bb4ec,23969bc6-a599-4750-9e7b-b1d2e1962b6c,815fe95b-f29f-4b1c-975e-613fa2d6e16f,a374240d-da78-477e-a5a4-363b1d4f8c18,bill_payment,created,payment_awaited,bp-10,ZAR,FALSE,FALSE,55,0,,,,,,,,,,,0,FALSE,FALSE,,,,,,,,,,,,tenant,2023-04-21T17:10:18.389Z,519f9dda-d306-4d43-9132-5c473774cc22,2023-04-21T17:10:18.389Z,519f9dda-d306-4d43-9132-5c473774cc22,com.sasai.payments.entities.OrderInfo,t1-1,55,ZAR,ZA,t1-10101,,,,
1937edb8-b7f0-4640-a921-d19199c8f146,24b4bac8-293e-4430-b2dc-04337e37e31a,e2704f70-d437-44f4-8d38-8630aa8b41b3,a374240d-da78-477e-a5a4-363b1d4f8c18,bill_payment,refund,refund_initiated,bp-20-02-02,ZAR,TRUE,FALSE,55,0,bank,virendra,virendra,virendra,,,fnb,0ea5b805-eaab-410e-bc0a-d3ddb00c5924,,,0,FALSE,FALSE,stringstri,string,string,string,string,string,string,string,string,string,,tenant,2023-04-21T17:11:54.189Z,519f9dda-d306-4d43-9132-5c473774cc22,2023-04-21T17:12:20.293Z,519f9dda-d306-4d43-9132-5c473774cc22,com.sasai.payments.entities.OrderInfo,t1-1,55,ZAR,ZA,t1-10101,,,,
bfe1abe7-79b5-42b1-b4bf-9f4d38c70697,0f45ed2f-1d88-443b-8a96-4a1dde3dea22,5e4982a8-6417-43fc-a8af-35c399031290,a374240d-da78-477e-a5a4-363b1d4f8c18,bill_payment,pending,payout_initiated,bp-20-02,ZAR,TRUE,FALSE,55,0,bank,virendra,virendra,virendra,,,fnb,d09b3ee2-218a-41e1-89f8-09745b5c7656,,,0,FALSE,FALSE,stringstri,string,string,string,string,string,string,string,string,string,,tenant,2023-04-21T17:16:18.285Z,519f9dda-d306-4d43-9132-5c473774cc22,2023-04-21T17:16:39.582Z,519f9dda-d306-4d43-9132-5c473774cc22,com.sasai.payments.entities.OrderInfo,t1-1,55,ZAR,ZA,t1-10101,,,,
45a7ccfb-040a-43e6-93df-fcfa2e0b18e7,8581631b-3eae-497f-a2d8-d294c23dd4da,e04d474d-cc49-422d-aed5-0b4b114687e3,a374240d-da78-477e-a5a4-363b1d4f8c18,bill_payment,refund,refund_initiated,bp-20-02-02,ZAR,TRUE,FALSE,55,0,bank,virendra,virendra,virendra,,,fnb,621ba10e-0db5-41ae-b111-ac5f1048cb0d,,,0,FALSE,FALSE,stringstri,string,string,string,string,string,string,string,string,string,,tenant,2023-04-21T17:17:34.097Z,519f9dda-d306-4d43-9132-5c473774cc22,2023-04-21T17:17:57.691Z,519f9dda-d306-4d43-9132-5c473774cc22,com.sasai.payments.entities.OrderInfo,t1-1,55,ZAR,ZA,t1-10101,,,,
ff4d5b30-79eb-47cd-ab15-1f6728fa69af,8d64b312-1223-425e-856a-47f7941a82a7,8bc7f0bd-6015-4a9d-bc0f-9661f3ff406d,a374240d-da78-477e-a5a4-363b1d4f8c18,bill_payment,refund,refund_initiated,bp-20-02-02,ZAR,TRUE,FALSE,55,0,bank,virendra,virendra,virendra,,,fnb,f4e22e31-54d6-4001-bb3a-086b725ae541,,,0,FALSE,FALSE,stringstri,string,string,string,string,string,string,string,string,string,,tenant,2023-04-21T17:37:54.586Z,519f9dda-d306-4d43-9132-5c473774cc22,2023-04-21T17:38:34.788Z,519f9dda-d306-4d43-9132-5c473774cc22,com.sasai.payments.entities.OrderInfo,t1-1,55,ZAR,ZA,t1-10101,,,,
4e8be3f1-2b6b-4bca-aa11-2a70b91e5574,efc798c1-5aa7-46a2-b344-b2fe3c70c9b7,f42ecde2-475a-45df-9beb-463f5c941cca,a374240d-da78-477e-a5a4-363b1d4f8c18,bill_payment,refund,refund_initiated,bp-20-02-02,ZAR,TRUE,FALSE,55,0,bank,virendra,virendra,virendra,,,fnb,59d19628-5ab5-4d55-b416-95a97b25cdec,,,0,FALSE,FALSE,stringstri,string,string,string,string,string,string,string,string,string,,tenant,2023-04-21T17:40:01.185Z,519f9dda-d306-4d43-9132-5c473774cc22,2023-04-21T17:40:26.195Z,519f9dda-d306-4d43-9132-5c473774cc22,com.sasai.payments.entities.OrderInfo,t1-1,55,ZAR,ZA,t1-10102,,,,
